gene_id	log2(fold_change)	q_value	p_value	significant	value_1	value_2
YJL149W	0.0828709	0.0959949	0.07335	no	22.2501	23.5656
YJL150W	-0.607557	0.333611	0.28475	no	3.88771	2.55153
YJL151C	0.0543565	0.319027	0.2704	no	1405.57	1459.54
YJL152W	0.212949	0.145981	0.11545	no	238.916	276.917
YJL153C	-0.785965	9.44412e-05	5e-05	yes	9.33008	5.41111
YJL154C	-0.22098	9.44412e-05	5e-05	yes	62.9156	53.9805
YJL155C	0.372731	9.44412e-05	5e-05	yes	79.6439	103.123
YJL156C	0.122075	0.00892234	0.0058	yes	23.4394	25.5091
YJL156W-A	0.564097	9.44412e-05	5e-05	yes	113.275	167.472
YJL157C	-0.358873	9.44412e-05	5e-05	yes	31.6116	24.6499
YJL158C	-0.517956	9.44412e-05	5e-05	yes	1866.69	1303.62
YJL159W	0	1	1	no	0	0
YJL160C	0.312868	9.44412e-05	5e-05	yes	25.679	31.8978
YJL161W	-0.0113515	0.864868	0.8412	no	52.9274	52.5126
YJL162C	0.123638	0.0298029	0.02095	yes	12.5242	13.6449
YJL163C	0.278744	9.44412e-05	5e-05	yes	43.6886	53.0003
YJL164C	0.063498	0.173294	0.13925	no	83.5855	87.3465
YJL165C	-0.423035	9.44412e-05	5e-05	yes	71.5292	53.3503
YJL166W	0.280907	9.44412e-05	5e-05	yes	558.124	678.097
YJL167W	-0.214908	9.44412e-05	5e-05	yes	480.665	414.141
YJL168C	0.139901	0.00665054	0.00425	yes	33.7502	37.187
YJL169W	0.48267	9.44412e-05	5e-05	yes	75.6022	105.641
YJL170C	1.18899	9.44412e-05	5e-05	yes	23.822	54.3124
YJL171C	0.128825	0.00416931	0.0026	yes	224.276	245.224
YJL172W	0.293411	9.44412e-05	5e-05	yes	60.9559	74.7035
YJL173C	0.42741	9.44412e-05	5e-05	yes	311.11	418.387
YJL174W	0.123518	0.00650651	0.00415	yes	411.219	447.977
YJL175W	-0.967962	9.44412e-05	5e-05	yes	24.9293	12.7446
YJL176C	0.247026	9.44412e-05	5e-05	yes	28.1534	33.4113
YJL177W	-0.466541	9.44412e-05	5e-05	yes	2372.83	1717.21
YJL178C	0.16439	9.44412e-05	5e-05	yes	185.058	207.393
YJL179W	-0.150117	0.00935305	0.0061	yes	154.014	138.794
YJL180C	-0.153514	0.00152038	0.0009	yes	53.1381	47.7743
YJL181W	0.577664	9.44412e-05	5e-05	yes	17.3303	25.8643
YJL182C	0.052296	0.931026	0.9185	no	2.80779	2.91144
YJL183W	-0.0470423	0.319207	0.27065	no	77.0669	74.5945
YJL184W	0.0965859	0.0428305	0.0309	yes	284.058	303.726
YJL185C	0.322975	9.44412e-05	5e-05	yes	22.7458	28.4529
YJL186W	-0.174872	0.000360088	0.0002	yes	72.8704	64.552
YJL187C	0.117422	0.0116992	0.00775	yes	23.85	25.8723
YJL188C	-0.186334	0.0449176	0.03255	yes	3059.41	2688.72
YJL189W	-0.28574	9.44412e-05	5e-05	yes	52794.1	43308.1
YJL190C	-0.593145	9.44412e-05	5e-05	yes	7147.7	4738.18
YJL191W	-0.26407	9.44412e-05	5e-05	yes	1288.3	1072.81
YJL192C	0.242118	9.44412e-05	5e-05	yes	199.539	236
YJL193W	-0.124456	0.0281755	0.01975	yes	21.1071	19.3626
YJL194W	1.1797	9.44412e-05	5e-05	yes	4.81103	10.8984
YJL195C	0.615759	0.0868128	0.06575	no	1.20139	1.84097
YJL196C	-0.0460311	0.334137	0.28525	no	384.416	372.345
YJL197C-A	-1.29909	0.218949	0.17935	no	4.24907	1.72675
YJL197W	-0.143683	0.00143963	0.00085	yes	27.8333	25.1948
YJL198W	-0.0365285	0.449474	0.3967	no	72.1504	70.3465
YJL199C	0.495765	9.44412e-05	5e-05	yes	105.303	148.484
YJL200C	-1.28862	9.44412e-05	5e-05	yes	42.2374	17.2896
YJL201W	0.0274978	0.594318	0.5438	no	26.0035	26.5039
YJL202C	0.336326	0.00371648	0.0023	yes	47.5915	60.086
YJL203W	-0.0781827	0.232723	0.1917	no	33.9241	32.1346
YJL204C	0.123098	0.0168871	0.01145	yes	11.9607	13.0261
YJL205C	0.217967	0.00716737	0.0046	yes	527.948	614.053
YJL206C	0.0839838	0.121279	0.09445	no	11.7708	12.4763
YJL207C	-0.169523	0.000447034	0.00025	yes	11.273	10.0233
YJL208C	-0.732163	9.44412e-05	5e-05	yes	27.5663	16.5949
YJL209W	-0.00471963	0.931404	0.9191	no	17.0407	16.985
YJL210W	0.683023	9.44412e-05	5e-05	yes	117.036	187.901
YJL211C	0.342644	0.00752999	0.00485	yes	111.767	141.729
YJL212C	-0.640022	9.44412e-05	5e-05	yes	41.5886	26.6875
YJL213W	-0.854745	9.44412e-05	5e-05	yes	64.0098	35.3951
YJL214W	-0.595625	9.44412e-05	5e-05	yes	6.36215	4.2102
YJL215C	-0.0158765	0.927555	0.9138	no	7.30851	7.22853
YJL216C	-0.163632	0.00545479	0.00345	yes	12.4177	11.0862
YJL217W	-0.430893	9.44412e-05	5e-05	yes	489.336	362.99
YJL218W	0.488935	9.44412e-05	5e-05	yes	58.0696	81.4953
YJL219W	1.00382	9.44412e-05	5e-05	yes	4.96304	9.95242
YJL220W	-1.06786	0.00325747	0.002	yes	4.85214	2.3146
YJL221C	0.172965	0.00567823	0.0036	yes	9.96568	11.235
YJL222W	-0.0232829	0.639165	0.59275	no	13.3501	13.1363
YJL222W-A	0.941824	0.074561	0.05565	no	2.18048	4.18861
YJL222W-B	-0.309107	0.187142	0.15135	no	85.9432	69.3683
YJL223C	0.203937	0.0714834	0.0532	no	17.5873	20.2577
YJL225C	0.371248	9.44412e-05	5e-05	yes	21.5545	27.8801
YJL225W-A	1.10405	9.44412e-05	5e-05	yes	31.8906	68.5512
YJR001W	0.198341	9.44412e-05	5e-05	yes	87.6023	100.513
YJR002W	-0.688505	9.44412e-05	5e-05	yes	74.4398	46.1896
YJR003C	-0.598645	9.44412e-05	5e-05	yes	25.6278	16.9239
YJR004C	0.175455	9.44412e-05	5e-05	yes	23.191	26.1901
YJR005C-A	1.04558	9.44412e-05	5e-05	yes	10.7023	22.0916
YJR005W	-0.338899	9.44412e-05	5e-05	yes	45.9805	36.3542
YJR006W	0.164809	0.000360088	0.0002	yes	54.5425	61.1432
YJR007W	-0.302249	9.44412e-05	5e-05	yes	254.433	206.342
YJR008W	-0.663431	9.44412e-05	5e-05	yes	76.2572	48.1469
YJR009C	0	1	1	no	0	0
YJR010C-A	-0.0656327	0.281317	0.2359	no	215.655	206.064
YJR010W	1.34426	9.44412e-05	5e-05	yes	34.8511	88.487
YJR011C	0.381734	9.44412e-05	5e-05	yes	27.9132	36.3683
YJR012C	0.0279328	0.753925	0.71635	no	79.1364	80.6836
YJR013W	-0.0074816	0.920961	0.9066	no	43.0961	42.8732
YJR014W	0.111772	0.0124748	0.0083	yes	371.031	400.919
